GeneSymbol	n	Tissues
634	BTRC	3	1
635	CAPRIN2	3	1
636	CCT3	3	1
637	CLDND1	3	1
638	CNOT6	3	1
639	CPNE3	3	1
640	CPT2	3	1
641	CRYZ	3	1
642	CS	3	1
643	CTNNA1	3	1
644	DHTKD1	3	1
645	DLD	3	1
646	DPH2	3	1
647	DPP8	3	1
648	EFL1	3	1
649	EFTUD2	3	1
650	EIF4B	3	1
651	EPRS	3	1
652	ERMARD	3	1
653	FAM21A	3	1
654	FBXL5	3	1
655	FECH	3	1
656	G2E3	3	1
657	G3BP2	3	1
658	GLB1	3	1
659	GNAS	3	1
660	GNE	3	1
661	GOT2	3	1
662	GPHN	3	1
663	GTPBP10	3	1
664	H2AFY	3	1
665	HAUS2	3	1
666	HBS1L	3	1
667	HDHD2	3	1
668	HIBCH	3	1
669	HNRNPUL1	3	1
670	ITGB2	3	1
671	ITSN1	3	1
672	KANSL3	3	1
673	KAT7	3	1
674	KIF1B	3	1
675	LARS	3	1
676	LDLR	3	1
677	LRCH3	3	1
678	MADD	3	1
679	MAL	3	1
680	MAN2B1	3	1
681	MICAL3	3	1
682	MPDZ	3	1
683	MPV17	3	1
684	NADK2	3	1
685	NARS	3	1
686	NAV2	3	1
687	NDUFB5	3	1
688	NMT1	3	1
689	NPEPPS	3	1
690	NUP93	3	1
691	OPA1	3	1
692	OSBPL8	3	1
693	OSBPL9	3	1
694	PACRGL	3	1
695	PARN	3	1
696	PCM1	3	1
697	PDCD6IP	3	1
698	POLR2B	3	1
699	PPP1R12B	3	1
700	PPP2R3C	3	1
701	PREPL	3	1
702	PSMC6	3	1
703	PSME4	3	1
704	PSMF1	3	1
705	RBBP4	3	1
706	RDX	3	1
707	RP1-225E12.3	3	1
708	SCAMP1	3	1
709	SCN5A	3	1
710	SENP2	3	1
711	SEPT2	3	1
712	SERAC1	3	1
713	SHKBP1	3	1
714	SLC25A30	3	1
715	SLC25A32	3	1
716	SLC2A1	3	1
717	SLC30A6	3	1
718	SLC35B1	3	1
719	SLC35B2	3	1
720	SLC8A1	3	1
721	SNHG5	3	1
722	SNX4	3	1
723	SPATS2L	3	1
724	SPP1	3	1
725	SSH1	3	1
726	ST6GAL1	3	1
