Run	Bases	biospecimen_repository_sample_id	body_site	submitted_subject_id
SRR816336	10687832880	GTEX-WOFL-0826-SM-3MJG1	Breast - Mammary Tissue	GTEX-WOFL-0826-SM-3MJG1
SRR818873	10768434224	GTEX-UPK5-2326-SM-3P5Z8	Breast - Mammary Tissue	GTEX-UPK5-2326-SM-3P5Z8
SRR820571	7927812016	GTEX-X261-0626-SM-3NMD9	Breast - Mammary Tissue	GTEX-X261-0626-SM-3NMD9
SRR658105	10790782936	GTEX-V955-2026-SM-3GAFA	Breast - Mammary Tissue	GTEX-V955-2026-SM-3GAFA
SRR659223	10862000256	GTEX-T5JC-2126-SM-32PMO	Breast - Mammary Tissue	GTEX-T5JC-2126-SM-32PMO
SRR662306	11736272792	GTEX-TKQ2-1826-SM-33HB2	Breast - Mammary Tissue	GTEX-TKQ2-1826-SM-33HB2
SRR662378	11788018456	GTEX-UTHO-1026-SM-3GAF7	Breast - Mammary Tissue	GTEX-UTHO-1026-SM-3GAF7
SRR662811	8090971096	GTEX-WFON-1826-SM-3GILG	Breast - Mammary Tissue	GTEX-WFON-1826-SM-3GILG
SRR656970	9680338728	GTEX-T6MN-0726-SM-32PML	Breast - Mammary Tissue	GTEX-T6MN-0726-SM-32PML
SRR657018	10578670736	GTEX-TKQ1-0226-SM-33HB5	Breast - Mammary Tissue	GTEX-TKQ1-0226-SM-33HB5
SRR657528	9390315128	GTEX-T2YK-2226-SM-32QPT	Breast - Mammary Tissue	GTEX-T2YK-2226-SM-32QPT
SRR1310158	7328244064	GTEX-11OF3-1926-SM-59889	Breast - Mammary Tissue	GTEX-11OF3-1926-SM-59889
SRR1310667	6532852232	GTEX-11GS4-2126-SM-5A5KR	Breast - Mammary Tissue	GTEX-11GS4-2126-SM-5A5KR
SRR1386945	9185155712	GTEX-117XS-1926-SM-5GICO	Breast - Mammary Tissue	GTEX-117XS-1926-SM-5GICO
SRR1388281	5787894000	GTEX-132Q8-1426-SM-5EGK7	Breast - Mammary Tissue	GTEX-132Q8-1426-SM-5EGK7
SRR1388399	5050068520	GTEX-11LCK-2426-SM-5HL5F	Breast - Mammary Tissue	GTEX-11LCK-2426-SM-5HL5F
SRR1389432	5869605096	GTEX-11ZUS-0826-SM-5FQUY	Breast - Mammary Tissue	GTEX-11ZUS-0826-SM-5FQUY
SRR1393026	5451411904	GTEX-11ONC-2126-SM-5HL6E	Breast - Mammary Tissue	GTEX-11ONC-2126-SM-5HL6E
SRR1394912	8413908928	GTEX-ZQUD-1926-SM-51MSA	Breast - Mammary Tissue	GTEX-ZQUD-1926-SM-51MSA
SRR1477273	6239765376	GTEX-11NV4-2026-SM-5N9DG	Breast - Mammary Tissue	GTEX-11NV4-2026-SM-5N9DG
SRR1477671	6823443096	GTEX-12BJ1-1826-SM-5HL9N	Breast - Mammary Tissue	GTEX-12BJ1-1826-SM-5HL9N
SRR1481128	6888942328	GTEX-Y9LG-1426-SM-5IFJZ	Breast - Mammary Tissue	GTEX-Y9LG-1426-SM-5IFJZ
