num.nmd	num.transcripts	nmd.ids
1620	0	2	
1621	0	0	
1622	0	0	
1623	0	0	
1624	0	1	
1625	0	2	
1626	0	2	
1627	0	0	
1628	0	1	
1629	0	1	
1630	3	3	*********
1631	1	1	***
1632	0	3	
1633	1	1	***
1634	0	0	
1635	0	0	
1636	1	1	***
1637	0	2	
1638	1	1	***
1639	1	8	***
1640	0	0	
1641	1	1	***
1642	1	1	***
1643	1	2	***
1644	0	0	
1645	1	7	***
1646	0	0	
1647	1	5	***
1648	0	0	
1649	0	0	
1650	0	0	
1651	0	0	
1652	0	0	
1653	0	0	
1654	0	3	
1655	0	0	
1656	0	1	
1657	2	2	******
1658	0	7	
1659	5	5	***************
1660	0	0	
1661	2	2	******
1662	1	1	***
1663	0	0	
1664	0	0	
1665	1	1	***
1666	0	2	
1667	1	1	***
1668	0	1	
1669	0	0	
1670	0	0	
1671	1	1	***
1672	1	1	***
1673	5	5	***************
1674	1	1	***
1675	0	1	
1676	1	1	***
1677	1	1	***
1678	1	1	***
1679	0	0	
1680	0	0	
1681	0	0	
1682	0	0	
1683	0	0	
1684	0	0	
1685	0	0	
1686	0	0	
1687	0	0	
1688	0	0	
1689	0	0	
1690	0	0	
1691	0	2	
1692	0	0	
1693	0	0	
1694	0	0	
1695	0	0	
1696	0	0	
1697	0	0	
1698	0	0	
1699	0	1	
1700	0	0	
1701	0	0	
1702	0	0	
1703	0	1	
1704	0	2	
1705	0	2	
1706	0	0	
1707	0	3	
1708	0	8	
1709	0	9	
1710	1	1	***
1711	0	1	
1712	0	1	
1713	0	6	
1714	0	4	
1715	0	1	
1716	0	1	
1717	0	2	
1718	0	0	
1719	0	1	
1720	0	1	
1721	0	1	
1722	0	0	
1723	0	0	
1724	0	0	
1725	0	0	
1726	1	1	***
1727	1	1	***
1728	1	1	***
1729	2	2	******
1730	1	1	***
1731	2	2	******
1732	1	1	***
1733	0	4	
1734	0	0	
1735	0	1	
1736	0	0	
1737	0	1	
1738	0	1	
1739	0	2	
1740	0	1	
1741	0	0	
1742	0	1	
1743	0	0	
1744	2	2	******
1745	2	2	******
1746	0	6	
1747	1	2	***
1748	1	1	***
1749	1	1	***
1750	0	4	
1751	0	11	
1752	0	1	
1753	0	2	
1754	0	8	
1755	1	11	***
1756	0	0	
1757	1	12	***
1758	0	0	
1759	1	1	***
1760	0	1	
1761	0	1	
1762	1	1	***
1763	2	2	******
1764	0	0	
1765	0	1	
